frame,delay,model,name,conf
0,1.246503,1t_f,,
1,1.206259,1t_f,adrian,6171.539330463253
2,1.029517,1t_f,adrian,10252.344684492651
3,0.901482,1t_f,adrian,6874.18406873212
4,0.950122,1t_f,adrian,8157.820021055921
5,0.901497,1t_f,serena,9638.38348615377
6,0.894459,1t_f,serena,9509.534939102497
7,0.892114,1t_f,adrian,10528.60442256423
8,0.874148,1t_f,adrian,10309.403007058172
9,0.881814,1t_f,,
10,0.895997,1t_f,,
11,0.906151,1t_f,,
12,0.889757,1t_f,,
13,0.903995,1t_f,adrian,6808.151440602971
14,0.918165,1t_f,adrian,8312.798677188723
15,0.906047,1t_f,adrian,8518.135057966858
16,0.889837,1t_f,adrian,8922.992147085612
17,0.897714,1t_f,robin,8714.597540569352
18,0.910306,1t_f,,
19,0.938306,1t_f,adrian,8137.839973143279
20,0.896414,1t_f,adrian,8295.67375965632
21,0.909995,1t_f,adrian,7075.6838293349
22,0.87957,1t_f,adrian,6484.0754404928875
23,0.901318,1t_f,robin,9320.725956729888
24,0.876489,1t_f,adrian,7492.098638114674
25,0.887114,1t_f,adrian,4359.691659598149
26,0.906595,1t_f,serena,6517.6537942594105
26,0.906595,1t_f,serena,9171.545068121355
27,0.916445,1t_f,serena,6054.869525584472
28,0.924767,1t_f,serena,6708.222483632314
29,0.944073,1t_f,serena,8062.797263570335
30,0.895339,1t_f,serena,5883.329369872704
31,0.924571,1t_f,serena,7033.434594487554
32,0.889218,1t_f,serena,6497.747944811619
33,0.921603,1t_f,adrian,8208.777173409146
34,0.906555,1t_f,,
35,0.970962,1t_f,serena,5712.766215651405
36,0.97696,1t_f,serena,6073.897620175312
37,0.914789,1t_f,serena,9254.827778353147
38,0.879985,1t_f,robin,11471.458129860273
39,0.896232,1t_f,serena,8190.466950253708
40,0.894583,1t_f,adrian,8275.114383470656
41,0.90235,1t_f,adrian,8333.750738995765
42,0.937718,1t_f,,
0,1.125652,2t_f,,
1,1.169205,2t_f,,
2,1.137359,2t_f,,
3,0.887225,2t_f,,
4,0.923244,2t_f,adrian,4689.113277594274
5,0.948528,2t_f,robin,4023.167501875811
6,0.948703,2t_f,robin,2708.3945819265923
7,0.913137,2t_f,robin,4168.977498775095
8,0.944355,2t_f,robin,6172.326837987495
9,0.933117,2t_f,robin,8775.045179067087
10,0.904506,2t_f,,
11,0.954625,2t_f,adrian,7091.671659683044
12,0.954704,2t_f,adrian,8300.119798526493
